,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HUGO BOSS AG
GPTW Survey 2023
October 30, 2023 - November 18, 2023
HB Global 2023 Results","Overall
(Nov 2023)",Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Australien,Belgien,Brasilien,China,Dänemark,Deutschland,Dubai,Finnland,Frankreich,Griechenland,Großbritanien,Hong Kong,Irland,Italien,Japan,Kanada,Katar,Malysia,Mexiko,Niederlande,Norwegen,Österreich,Polen,Portugal,Schweden,Schweiz,Singapur,Spanien,Südkorea,Taiwan,Thailand,Türkei,USA
Global filter (Nov 2023): Overall Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Community,66,71,70,70,89,71,72,83,82,72,66,67,67,66,59,61,67,71,58,73,49,58,77,71,59,74,73,61,69,78,57,80,57,55
,Competence,69,78,75,77,85,67,75,88,71,71,78,75,68,77,68,63,74,88,69,76,56,60,81,69,71,78,79,74,69,68,48,78,59,64
,Corporate Image,76,77,73,87,88,67,81,92,68,70,83,70,60,81,73,63,73,95,72,83,57,61,86,62,75,78,85,70,74,55,42,80,75,63
,Credibility,69,78,72,79,85,66,75,90,73,68,80,75,70,75,67,64,75,87,67,76,58,61,82,70,71,77,76,73,68,67,46,77,60,62
,Engagement,71,77,74,79,86,68,77,89,72,70,80,72,69,75,67,67,72,87,67,77,57,62,83,67,67,80,78,71,69,64,50,77,64,62
,Equity,59,61,57,66,78,56,70,82,61,47,58,59,55,68,52,52,58,79,66,67,42,38,72,53,55,72,68,67,53,51,36,75,49,52
,Fairness,66,75,68,78,84,69,75,85,76,62,72,70,68,79,64,63,70,83,69,74,58,56,79,66,66,80,73,72,66,67,44,76,52,60
,Hospitality,76,84,77,85,88,73,84,90,88,77,82,77,66,82,71,66,75,92,72,78,62,61,88,70,78,79,85,73,71,63,51,83,70,64
,Impartiality,55,70,59,70,81,60,62,81,71,52,67,61,62,75,53,54,65,79,61,63,48,50,68,55,54,68,59,66,58,68,41,67,38,49
,Innovation,69,77,70,76,84,67,75,87,75,68,76,72,72,74,66,66,73,85,66,75,55,62,81,64,65,79,75,71,68,70,52,76,59,60
,Integrity,69,78,68,82,84,65,76,89,76,65,86,73,70,75,68,65,75,86,66,74,56,58,83,71,71,76,76,75,66,65,41,77,60,59
,Intimacy,75,79,74,78,82,81,81,91,71,70,71,74,67,82,69,59,73,83,70,77,61,67,82,71,67,80,83,73,70,62,47,78,72,66
,Justice,78,89,82,93,89,84,86,91,92,81,86,83,82,90,80,77,83,88,77,86,76,73,90,83,82,93,86,81,80,78,53,82,64,74
,Leadership Behavior,69,79,72,81,86,66,74,91,75,68,86,75,71,76,68,65,77,88,68,77,59,64,83,71,69,80,80,75,66,64,42,77,59,62
,Personal Job,79,75,71,91,83,66,78,91,70,79,90,69,67,80,68,70,72,90,66,77,63,58,87,57,76,82,77,70,71,73,57,73,86,66
