Values-based working culture,Connected to HUGO BOSS,Informed about HUGO BOSS values,Values lived out across the organisation,Values lived out in the day-to-day business,Values positively influence the working atmosphere,Values have a positive influence on your motivation and engagement,Values support you at work,Importance of TRUST,TRUST reflected daily,Importance of ENTREPRENEURIAL SPIRIT,ENTREPRENEURIAL SPIRIT reflected daily,Importance of YOUTHFUL SPIRIT,YOUTHFUL SPIRIT reflected daily,Importance of SIMPLICITY & QUALITY,SIMPLICITY & QUALITY reflected daily,Importance of TEAM MENTALITY,TEAM MENTALITY reflected daily,Importance of PERSONAL OWNERSHIP,PERSONAL OWNERSHIP reflected daily,Please select the country you are based in - Country,Which occupational group are you a part of?,Are you currently in a leadership position?,How long have you been working at HUGO BOSS?,How old are you?,Functional Group
2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Germany,No answer,No answer,< 1 year,43 - 50,Corporate & Administrative
2,2,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1,0,0,-2,-2,-2,-1,-2,2,-1,-1,-2,2,-1,2,-1,2,-2,1,-1,Turkey,White Collar,No answer,> 10 years,35 - 42,Logistics & Operations
2,1,2,2,1,1,1,2,2,1,2,1,1,1,2,1,2,1,2,1,Mexico,No answer,No,1-3 years,35 - 42,Creative & Brand Functions
1,0,-1,0,-1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,Germany,Blue Collar,No,> 10 years,51 - 58,Corporate & Administrative
2,2,2,-1,-1,-1,-2,-2,2,2,2,0,2,-1,2,0,2,-1,2,2,Mexico,,,1-3 years,27 - 34,Sales & Retail
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Mexico,Blue Collar,No,1-3 years,27 - 34,Sales & Retail
2,2,2,1,0,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Mexico,Blue Collar,No,1-3 years,43 - 50,Sales & Retail
2,0,1,1,0,0,0,2,1,1,0,2,2,1,1,1,1,2,2,1,Mexico,Blue Collar,No,< 1 year,≤ 26,Sales & Retail
2,2,2,2,2,1,2,2,2,2,0,0,2,1,1,1,2,1,2,1,Mexico,White Collar,No,< 1 year,≤ 26,Creative & Brand Functions
2,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,Mexico,No answer,No,< 1 year,43 - 50,Sales & Retail
2,2,-1,-2,-2,-1,-2,-2,2,-2,2,-2,2,-2,1,-1,2,-1,2,-1,Turkey,No answer,No,5-10 years,35 - 42,Creative & Brand Functions
2,2,2,1,1,0,2,2,2,1,2,1,2,1,2,1,2,1,2,1,Mexico,No answer,No,< 1 year,35 - 42,Sales & Retail
2,1,2,2,0,0,1,2,2,1,2,2,0,1,-1,1,1,0,2,1,Mexico,White Collar,No,1-3 years,35 - 42,Creative & Brand Functions
2,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Mexico,Blue Collar,No,5-10 years,27 - 34,Sales & Retail
2,2,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,Mexico,No answer,No,3-5 years,35 - 42,Creative & Brand Functions
1,0,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,Mexico,White Collar,No,< 1 year,≤ 26,Creative & Brand Functions
2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,Mexico,No answer,No,1-3 years,27 - 34,Creative & Brand Functions
2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,Mexico,No answer,No,< 1 year,≤ 26,Creative & Brand Functions
2,2,1,1,2,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,Mexico,No answer,No,1-3 years,51 - 58,Creative & Brand Functions
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Mexico,White Collar,No,< 1 year,≤ 26,Creative & Brand Functions
2,2,1,0,1,1,No answer,No answer,2,1,2,0,0,0,1,1,1,1,2,1,Italy,White Collar,Yes,> 10 years,≥ 59,Logistics & Operations
2,2,1,1,0,1,1,2,2,1,2,0,1,0,1,1,1,1,1,1,Mexico,Blue Collar,No,1-3 years,35 - 42,Creative & Brand Functions
1,0,-1,0,0,0,0,0,1,0,1,0,-1,0,0,0,1,1,0,1,Mexico,White Collar,No,3-5 years,27 - 34,Corporate & Administrative
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,0,1,1,1,0,1,1,2,2,1,1,2,2,2,2,2,2,2,2,Mexico,No answer,No,1-3 years,≤ 26,Creative & Brand Functions
2,0,0,-1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Mexico,No answer,No,< 1 year,27 - 34,Corporate & Administrative
1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Germany,,No,> 10 years,43 - 50,No answer
2,2,2,1,1,2,2,1,2,1,2,1,1,1,2,1,2,1,2,1,Germany,White Collar,Yes,< 1 year,43 - 50,Sales & Retail
2,2,2,1,1,1,2,2,2,1,2,1,2,1,2,0,2,1,2,1,United Kingdom,White Collar,Yes,> 10 years,35 - 42,Sales & Retail
2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,1,1,0,1,1,1,0,2,1,1,0,1,2,1,0,1,1,1,1,Germany,Blue Collar,No,1-3 years,35 - 42,IT & Technical Services
2,2,2,1,1,2,2,1,2,2,2,2,1,1,2,1,2,2,2,1,Mexico,No answer,No,< 1 year,27 - 34,Creative & Brand Functions
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Mexico,White Collar,No,< 1 year,≤ 26,Creative & Brand Functions
2,2,2,0,0,2,2,2,2,1,2,1,2,0,2,0,2,0,1,0,,,,,,
2,2,1,1,1,2,0,1,2,1,1,0,1,1,2,2,2,1,2,1,Germany,No answer,Yes,> 10 years,27 - 34,Creative & Brand Functions
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Mexico,White Collar,No,< 1 year,27 - 34,Corporate & Administrative
2,1,2,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,Mexico,White Collar,No,3-5 years,27 - 34,Sales & Retail
2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,Mexico,No answer,No,3-5 years,27 - 34,Creative & Brand Functions
2,1,1,1,1,1,2,1,0,0,1,1,1,1,1,1,0,0,1,1,United States,White Collar,Yes,< 1 year,35 - 42,Logistics & Operations
1,0,1,1,-1,0,0,0,0,-1,0,0,0,-1,1,1,1,-1,0,-1,Turkey,Blue Collar,No,< 1 year,≤ 26,Logistics & Operations
0,0,1,1,1,-1,-2,-2,1,1,1,0,0,1,1,0,1,-1,-1,No answer,Turkey,Blue Collar,No,< 1 year,27 - 34,Sales & Retail
2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,Turkey,,No,< 1 year,≤ 26,Creative & Brand Functions
2,1,0,0,0,-1,-1,-1,2,-1,1,1,0,0,2,1,1,0,2,0,Turkey,No answer,No,1-3 years,27 - 34,Creative & Brand Functions
1,0,0,0,-1,-1,0,-1,1,0,1,0,1,-1,1,-1,1,-1,2,0,Turkey,No answer,No,3-5 years,27 - 34,Sales & Retail
2,2,1,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,2,2,1,1,1,1,1,2,1,2,1,2,0,2,0,2,0,2,1,Denmark,No answer,No answer,No answer,No answer,Creative & Brand Functions
2,1,2,-2,2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,Italy,White Collar,Yes,5-10 years,43 - 50,Sales & Retail
2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Canada,No answer,Yes,1-3 years,35 - 42,Sales & Retail
2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,Mexico,White Collar,No,3-5 years,27 - 34,Creative & Brand Functions
2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,Mexico,Blue Collar,No,1-3 years,35 - 42,Creative & Brand Functions
2,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,2,Mexico,White Collar,No,1-3 years,27 - 34,Creative & Brand Functions
2,2,2,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Mexico,No answer,No,3-5 years,51 - 58,Creative & Brand Functions
2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2,2,Mexico,White Collar,Yes,< 1 year,35 - 42,Creative & Brand Functions
2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,Mexico,,No,1-3 years,≤ 26,Corporate & Administrative
2,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,Mexico,No answer,No answer,5-10 years,43 - 50,Sales & Retail
2,2,2,2,1,2,2,1,2,2,1,1,1,1,2,2,1,2,1,2,Mexico,No answer,No,5-10 years,≥ 59,Sales & Retail
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Mexico,Blue Collar,Yes,< 1 year,35 - 42,Sales & Retail
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Mexico,Blue Collar,No,1-3 years,27 - 34,Creative & Brand Functions
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Mexico,No answer,No,5-10 years,27 - 34,Corporate & Administrative
2,1,2,0,1,0,2,1,2,1,2,1,2,2,1,1,2,-1,0,2,Mexico,No answer,No,1-3 years,27 - 34,Sales & Retail
2,1,1,2,1,2,2,1,2,2,2,1,2,2,1,1,2,1,1,2,Mexico,,No,1-3 years,35 - 42,Corporate & Administrative
1,0,-1,0,-2,-2,1,No answer,2,-2,2,-1,2,1,2,-2,2,0,2,1,Turkey,White Collar,No,5-10 years,35 - 42,No answer
2,1,0,0,1,2,2,1,2,0,2,1,1,0,2,2,2,0,2,1,Germany,White Collar,No,1-3 years,27 - 34,Creative & Brand Functions
1,1,1,0,1,0,0,0,1,1,0,0,-1,0,1,1,1,1,1,1,Germany,White Collar,No,> 10 years,43 - 50,IT & Technical Services
2,2,1,0,2,1,1,1,2,1,2,2,2,2,2,1,2,0,2,2,Mexico,No answer,No,1-3 years,35 - 42,Sales & Retail
2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,2,1,0,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,0,No answer,White Collar,Yes,> 10 years,43 - 50,No answer
2,2,2,0,2,2,2,1,2,2,2,1,2,1,2,1,2,1,2,0,Germany,No answer,No,> 10 years,51 - 58,Creative & Brand Functions
2,1,2,1,2,1,1,1,2,2,1,1,1,1,2,2,1,2,2,2,Germany,Blue Collar,Yes,5-10 years,27 - 34,IT & Technical Services
2,1,-1,-1,-1,-1,0,No answer,-1,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,1,2,1,1,1,1,1,2,1,2,0,1,1,0,0,2,1,2,1,Italy,White Collar,Yes,3-5 years,35 - 42,Creative & Brand Functions
1,1,-2,-1,-1,1,1,1,-1,-1,-1,-1,2,-1,1,0,1,-1,1,0,,,,,,
2,1,1,0,1,0,1,0,2,0,1,0,1,0,1,0,1,0,2,0,Italy,White Collar,No,> 10 years,43 - 50,Logistics & Operations
2,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,Germany,White Collar,No,> 10 years,35 - 42,Logistics & Operations
2,1,1,1,0,0,1,0,1,0,1,0,2,1,0,0,2,1,1,0,Germany,White Collar,No,> 10 years,35 - 42,Sales & Retail
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,,,,,,
2,1,1,1,1,1,1,1,2,1,1,0,2,2,2,0,2,2,2,2,Italy,No answer,No,> 10 years,43 - 50,Logistics & Operations
2,1,0,0,0,0,0,0,2,1,1,0,0,-1,2,1,1,0,2,0,Italy,White Collar,No,> 10 years,43 - 50,Logistics & Operations
2,2,1,1,1,1,2,1,2,2,1,1,-1,-1,2,2,2,0,2,1,Greater China,White Collar,No,> 10 years,35 - 42,Corporate & Administrative
2,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Germany,White Collar,No,3-5 years,27 - 34,Logistics & Operations
1,2,-1,-2,-2,-1,No answer,No answer,2,-1,1,No answer,0,No answer,1,-1,1,1,2,0,Germany,White Collar,No,> 10 years,,Corporate & Administrative
2,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,Switzerland,Blue Collar,No,5-10 years,27 - 34,Corporate & Administrative
2,1,2,1,2,0,1,2,2,1,2,2,1,1,1,2,2,2,2,2,Italy,White Collar,No,> 10 years,35 - 42,Creative & Brand Functions
2,2,2,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,Italy,,No,5-10 years,27 - 34,Logistics & Operations
2,1,0,0,0,0,1,1,1,0,1,0,0,1,1,-1,1,1,1,1,Switzerland,No answer,No,> 10 years,35 - 42,Logistics & Operations
2,2,2,0,0,0,1,1,2,2,2,1,1,1,2,2,1,1,2,1,Switzerland,White Collar,No,5-10 years,No answer,Creative & Brand Functions
1,No answer,0,1,0,0,0,0,0,-1,0,-1,0,No answer,1,-1,0,-1,0,-1,Italy,White Collar,No,> 10 years,43 - 50,Creative & Brand Functions
1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,Switzerland,White Collar,No,> 10 years,51 - 58,Corporate & Administrative
1,1,1,0,0,0,1,1,2,1,2,1,1,1,2,2,2,1,2,2,Switzerland,White Collar,No,> 10 years,43 - 50,Creative & Brand Functions
1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,Germany,White Collar,No,> 10 years,51 - 58,Creative & Brand Functions
1,1,1,1,1,0,0,1,1,1,1,1,1,1,2,1,2,-1,1,1,Switzerland,White Collar,No,> 10 years,No answer,Creative & Brand Functions
2,1,1,0,0,0,0,1,2,2,0,1,2,0,2,2,2,0,2,2,Switzerland,White Collar,No,< 1 year,27 - 34,IT & Technical Services
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Switzerland,White Collar,No,> 10 years,35 - 42,Creative & Brand Functions
1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,Switzerland,White Collar,No,> 10 years,51 - 58,IT & Technical Services
1,1,1,1,1,1,0,1,2,1,2,1,2,1,2,1,2,2,2,2,Italy,White Collar,No,No answer,No answer,Logistics & Operations
2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,Switzerland,Blue Collar,No,No answer,No answer,Creative & Brand Functions
2,2,1,0,2,1,1,1,2,2,2,2,2,2,2,1,2,1,2,1,Switzerland,White Collar,Yes,> 10 years,43 - 50,Logistics & Operations
2,0,0,0,0,0,0,0,2,1,1,0,0,0,2,1,2,1,1,1,Switzerland,White Collar,Yes,> 10 years,35 - 42,Creative & Brand Functions
1,1,0,0,0,0,0,0,2,1,0,0,1,1,1,1,2,1,0,-1,Greater China,No answer,Yes,> 10 years,35 - 42,Creative & Brand Functions
2,1,0,1,-1,-1,0,0,1,-1,0,-1,0,-1,-2,-2,-1,-2,-1,-2,Italy,White Collar,No,5-10 years,43 - 50,Logistics & Operations
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,2,1,0,0,1,1,2,2,1,1,0,1,1,2,0,1,1,2,1,Germany,White Collar,Yes,> 10 years,43 - 50,Logistics & Operations
1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,Germany,Blue Collar,Yes,3-5 years,27 - 34,IT & Technical Services
1,1,2,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,Italy,No answer,No answer,No answer,No answer,Logistics & Operations
1,1,1,1,1,0,0,-1,2,1,0,0,1,0,1,0,1,0,1,0,Germany,White Collar,No,5-10 years,27 - 34,IT & Technical Services
2,1,1,-1,-1,-2,-1,-2,2,-1,2,-2,1,-2,2,-1,2,-1,2,-2,Germany,No answer,No,5-10 years,No answer,Creative & Brand Functions
2,0,1,0,0,0,0,0,2,1,2,1,2,0,1,0,2,0,2,0,Switzerland,White Collar,Yes,,,Creative & Brand Functions
2,2,2,1,2,2,2,1,2,2,2,2,0,0,2,2,2,2,2,1,Italy,White Collar,Yes,> 10 years,35 - 42,Creative & Brand Functions
2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1,1,-1,0,0,0,1,0,2,0,1,0,2,0,1,1,2,0,2,1,Italy,White Collar,No,< 1 year,≤ 26,Creative & Brand Functions
2,1,0,0,1,0,1,1,2,2,1,1,0,0,2,2,1,1,0,0,Germany,White Collar,No,< 1 year,27 - 34,Corporate & Administrative
2,1,1,0,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,Switzerland,White Collar,Yes,> 10 years,No answer,Creative & Brand Functions
1,2,2,1,1,0,1,1,2,2,1,1,1,1,1,0,1,0,1,1,Italy,White Collar,No,> 10 years,≥ 59,Creative & Brand Functions
1,-2,1,1,-1,-1,-1,-2,1,1,-1,0,1,-1,1,-1,1,0,1,0,Switzerland,White Collar,No,1-3 years,27 - 34,Creative & Brand Functions
1,1,1,2,1,2,1,0,2,2,2,1,2,0,2,1,2,1,2,1,Germany,Blue Collar,No,< 1 year,35 - 42,Creative & Brand Functions
2,1,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Italy,Blue Collar,No,3-5 years,51 - 58,Corporate & Administrative
2,2,1,1,1,0,2,2,2,1,2,1,2,1,2,0,2,0,2,0,Italy,Blue Collar,Yes,< 1 year,51 - 58,Corporate & Administrative
1,1,1,0,0,0,0,1,2,2,1,1,1,1,1,0,1,1,1,1,Switzerland,White Collar,No,> 10 years,43 - 50,Logistics & Operations
2,1,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,2,1,,,,,,
2,1,1,0,0,0,1,1,2,0,2,-1,1,1,2,-1,1,0,1,1,Switzerland,White Collar,No,5-10 years,51 - 58,Creative & Brand Functions
1,0,1,-1,-1,1,2,1,2,0,1,0,1,0,1,-2,2,0,2,-2,Germany,No answer,No,< 1 year,27 - 34,Creative & Brand Functions
1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,Italy,Blue Collar,No,< 1 year,27 - 34,Logistics & Operations
2,0,0,2,0,0,0,1,2,2,1,0,1,0,1,0,2,0,1,0,Italy,White Collar,No,< 1 year,27 - 34,Logistics & Operations
2,2,0,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,Germany,White Collar,Yes,5-10 years,35 - 42,Sales & Retail
1,1,1,1,1,1,1,0,2,1,1,1,1,2,1,1,2,2,1,1,Germany,No answer,No,< 1 year,27 - 34,Creative & Brand Functions
2,2,2,1,2,2,2,1,2,2,2,0,1,1,2,2,2,2,2,1,Switzerland,White Collar,Yes,> 10 years,51 - 58,Creative & Brand Functions
1,1,1,-1,-1,0,1,-1,1,0,1,-1,2,-2,1,1,1,1,1,-1,Germany,White Collar,No,5-10 years,27 - 34,Sales & Retail
2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Switzerland,White Collar,No answer,> 10 years,43 - 50,Creative & Brand Functions
1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,2,1,1,1,1,2,1,2,1,1,0,1,1,2,1,2,1,1,1,Italy,White Collar,No,1-3 years,27 - 34,Creative & Brand Functions
2,No answer,1,0,1,1,1,1,2,1,1,0,0,0,2,1,2,1,2,0,Italy,White Collar,Yes,> 10 years,43 - 50,Logistics & Operations
2,1,0,1,1,0,2,2,1,2,2,1,0,1,1,0,2,0,2,1,Italy,White Collar,No,> 10 years,43 - 50,Creative & Brand Functions
2,2,1,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,Germany,White Collar,No,No answer,35 - 42,No answer
1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,Switzerland,White Collar,No,> 10 years,43 - 50,Creative & Brand Functions
2,2,1,0,1,0,0,0,2,1,2,1,2,2,2,0,2,1,2,2,Germany,White Collar,No,No answer,27 - 34,Sales & Retail
2,1,1,1,2,1,1,1,1,0,1,0,1,1,2,2,1,1,2,0,Italy,White Collar,Yes,> 10 years,43 - 50,Corporate & Administrative
1,1,2,0,1,1,0,0,1,1,1,1,2,2,1,1,2,2,1,1,Germany,No answer,No answer,3-5 years,27 - 34,Creative & Brand Functions
2,0,0,0,0,0,1,0,1,0,1,-1,1,0,1,1,1,1,0,1,Italy,No answer,No,< 1 year,27 - 34,Logistics & Operations
1,0,2,1,1,1,0,0,2,1,0,-1,0,-1,0,0,1,1,1,1,Switzerland,White Collar,No,< 1 year,27 - 34,Logistics & Operations
2,1,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,,,,,,
2,2,1,-1,-2,-1,-2,-1,2,-1,1,0,0,0,2,-1,2,1,2,0,Switzerland,No answer,No,1-3 years,≤ 26,Creative & Brand Functions
1,0,1,1,1,0,0,0,2,1,2,1,-1,0,2,0,2,1,2,2,Switzerland,White Collar,No,> 10 years,51 - 58,Creative & Brand Functions
2,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,Mexico,No answer,No,3-5 years,35 - 42,Corporate & Administrative
1,1,1,0,0,-1,0,0,1,-1,1,0,1,1,1,1,1,0,1,0,Italy,White Collar,No,< 1 year,≤ 26,Logistics & Operations
1,2,1,1,1,0,0,1,2,1,0,0,0,0,1,1,1,1,2,1,Switzerland,White Collar,Yes,> 10 years,35 - 42,Creative & Brand Functions
1,0,1,-1,2,1,1,0,2,1,0,0,1,1,0,0,2,2,1,-1,Germany,White Collar,No,1-3 years,27 - 34,Creative & Brand Functions
1,0,-1,-1,-1,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,,,,,,
1,1,1,0,0,1,1,1,2,1,0,1,1,1,1,1,2,2,1,1,Italy,White Collar,No,1-3 years,≤ 26,Creative & Brand Functions
1,0,0,0,0,0,0,1,0,0,1,-1,0,0,1,-1,1,0,0,0,,,,,,
2,2,2,0,-1,2,2,2,2,2,2,2,2,2,2,-1,2,-1,2,2,United States,No answer,Yes,< 1 year,27 - 34,Sales & Retail
2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,1,Mexico,No answer,Yes,> 10 years,35 - 42,Logistics & Operations
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,Mexico,White Collar,No,> 10 years,35 - 42,Logistics & Operations
0,1,2,1,1,0,1,0,2,2,-1,-1,2,1,2,2,2,2,2,2,,,,,,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Brazil,White Collar,No,< 1 year,51 - 58,Corporate & Administrative
2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,Mexico,Blue Collar,No,3-5 years,27 - 34,Creative & Brand Functions
2,0,1,0,0,-1,0,-1,2,-2,0,0,1,-2,1,1,2,2,1,1,Germany,Blue Collar,No,1-3 years,35 - 42,Corporate & Administrative
2,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,1,1,1,2,0,0,0,1,0,2,2,1,0,1,1,2,0,2,2,Canada,No answer,Yes,< 1 year,27 - 34,Sales & Retail
2,2,2,1,0,1,2,1,1,1,1,1,0,1,1,1,1,1,2,2,United States,White Collar,No,1-3 years,≤ 26,Sales & Retail
2,1,2,2,0,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,United States,White Collar,Yes,< 1 year,≤ 26,Sales & Retail
2,1,1,1,1,1,2,1,1,1,0,1,2,2,1,2,1,1,2,1,United States,No answer,No,1-3 years,≤ 26,Sales & Retail
2,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,2,2,2,1,Mexico,No answer,No,3-5 years,27 - 34,Creative & Brand Functions
0,2,-1,-2,No answer,No answer,0,0,No answer,No answer,1,0,0,0,0,0,1,0,1,0,,,,,,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Spain,White Collar,No,< 1 year,43 - 50,Creative & Brand Functions
1,1,2,1,1,1,1,0,1,0,1,1,2,2,2,0,2,1,1,1,Germany,White Collar,No answer,1-3 years,≤ 26,Sales & Retail
2,1,1,1,1,1,1,1,2,1,1,0,1,0,1,0,2,2,1,0,Germany,White Collar,Yes,1-3 years,27 - 34,IT & Technical Services
1,2,0,1,2,2,No answer,No answer,2,2,2,2,0,0,2,2,2,2,2,2,No answer,White Collar,No,> 10 years,No answer,No answer
1,0,2,-1,-1,-1,0,1,2,-1,1,1,2,0,2,0,2,1,2,-1,Switzerland,No answer,No,1-3 years,27 - 34,Creative & Brand Functions
1,0,2,1,0,0,1,1,1,0,0,0,0,0,1,0,-1,-1,0,0,Germany,White Collar,No,> 10 years,No answer,Creative & Brand Functions
2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
0,0,-1,-1,-2,-2,-2,-2,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,Turkey,Blue Collar,No,5-10 years,35 - 42,Sales & Retail
2,0,1,-1,-1,0,1,0,1,0,1,1,1,0,1,1,0,0,2,2,Italy,No answer,No answer,1-3 years,27 - 34,Creative & Brand Functions
1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,Switzerland,White Collar,Yes,5-10 years,43 - 50,Creative & Brand Functions
1,2,1,1,1,1,2,2,2,1,0,0,2,2,1,0,0,0,1,1,Italy,White Collar,No,5-10 years,35 - 42,Creative & Brand Functions
2,1,1,1,1,1,1,0,2,1,1,0,0,0,1,1,2,1,2,0,Germany,White Collar,No,5-10 years,27 - 34,Corporate & Administrative
1,1,1,1,1,1,1,0,2,2,0,0,0,0,1,1,2,1,2,2,Germany,White Collar,Yes,1-3 years,43 - 50,Logistics & Operations
1,1,1,2,0,0,1,-2,2,1,2,1,2,1,2,1,2,2,2,0,,,,,,
2,2,1,1,2,2,1,1,2,2,1,2,2,1,2,1,2,2,2,1,Italy,Blue Collar,No,> 10 years,35 - 42,Logistics & Operations
2,2,2,2,2,2,2,2,2,-1,2,2,2,1,2,2,2,1,2,-1,Turkey,Blue Collar,No,1-3 years,≤ 26,Creative & Brand Functions
2,1,-1,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1,2,1,1,1,1,1,1,2,2,2,1,2,1,2,0,2,2,2,2,Spain,,Yes,> 10 years,51 - 58,Creative & Brand Functions
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Brazil,No answer,No,< 1 year,43 - 50,Creative & Brand Functions
1,1,1,-1,0,-1,0,0,0,-1,0,0,1,1,0,0,1,1,0,0,Germany,White Collar,No answer,No answer,No answer,IT & Technical Services
2,1,1,2,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,United States,No answer,Yes,< 1 year,27 - 34,Sales & Retail
2,1,1,0,0,0,0,0,2,-1,1,0,2,1,2,-1,2,0,2,0,Switzerland,No answer,Yes,1-3 years,35 - 42,Creative & Brand Functions
